abseil-cpp 20260526.0-2
acl 2.4.0-1
acpid 2.0.34-2
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.17.0-1
alsa-card-profiles 1:1.6.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.16.1-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.16.1-1
alsa-utils 1.2.16-1
amd-ucode 20260622-1
aom 3.14.1-1
apple-bcm-firmware 14.0-1
apple-t2-audio-config 0.3-2
appstream 1.1.3-1
aquamarine 0.12.1-1
arch-install-scripts 31-1
arch-mact2-mirrorlist 3-1
archinstall 4.4-1
archlinux-keyring 20260707.1-1
at-spi2-core 2.60.5-1
atkmm 2.28.5-2
attr 2.6.0-1
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc5-1
b43-fwcutter 019-6
base 3-3
base-devel 1-2
bash 5.3.15-1
bash-completion 2.18.0-1
bat 0.26.1-2
bc 1.08.2-1
bcachefs-tools 3:1.38.8-2
bibata-cursor-theme-bin 2.0.7-1
bind 9.20.24-1
binutils 2.46.1+r3+g046eeeef4721-1
bison 3.8.2-8
bluez 5.87-2
bluez-libs 5.87-2
bluez-utils 5.87-2
bolt 0.9.11-1
boost-libs 1.91.0-1
brightnessctl 0.5.1-3
brltty 6.9.1-3
broadcom-wl 6.30.223.271-709
brotli 1.2.0-1
btop 1.4.7-1
btrfs-progs 7.0-1
bubblewrap 0.11.2-1
bzip2 1.0.8-6
ca-certificates 20240618-1
ca-certificates-mozilla 3.125-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.6-1
cairomm-1.16 1.18.1-1
ccid 1.8.2-1
chromium 150.0.7871.114-1
cifs-utils 7.5-1
clonezilla 5.16.16-1
cloud-init 26.1-1
coreutils 9.11-1
cpio 2.15-3
cryptsetup 2.8.6-1
cups 2:2.4.19-1
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.3-1
curl 8.21.0-1
darkhttpd 1.17-1
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
dbus-broker 37-3
dbus-broker-units 37-3
dbus-glib 0.114-1
dbus-units 37-3
dconf 0.49.0-1
ddrescue 1.30-2
debugedit 5.3-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.41-1
dhcpcd 10.3.2-1
diffutils 3.12-2
ding-libs 0.7.0-1
djvulibre 3.5.30.1-1
dkms 3.4.1-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.93-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
double-conversion 3.4.0-1
drbl 5.9.11-1
duktape 2.7.0-7
e2fsprogs 1.47.4-1
ecryptfs-utils 111-9
edk2-shell 202605-1
efibootmgr 18-4
efivar 39-2
egl-gbm 1.1.3-1
egl-wayland 4:1.1.21-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
elephant 2.21.0-1
elfutils 0.195-1
ell 0.83-1
enchant 2.8.15-2
espeak-ng 1.52.0-1
espeakup 0.90-4
ethtool 1:7.1-1
evince 1:48.4-1
exempi 2.6.6-3
exfatprogs 1.4.2-1
exiv2 0.28.8-2
expat 2.8.2-1
eza 0.23.5-2
f2fs-tools 1.16.0-3
fakeroot 1:1.37.2-2
fastfetch 2.66.0-1
fatresize 1.1.0-2
fcft 3.3.3-1
fcitx5 5.1.21-1
fcitx5-gtk 5.1.7-1
fcitx5-qt 5.1.14-1
fd 10.4.2-2
ffmpeg 2:8.1.2-10
fftw 3.3.11-1
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
flac 1.5.0-1
flex 2.6.4-6
fmt 12.2.0-1
fontconfig 2:2.18.1-1
foot 1.27.0-1
foot-terminfo 1.27.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fsarchiver 0.8.9-1
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fzf 0.74.0-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.1.1+r346+g4e03491b401d-3
gcc-libs 16.1.1+r346+g4e03491b401d-3
gcr-4 4.4.0.1-1
gdb 17.2-1
gdb-common 17.2-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gettext 1.0-2
gexiv2 0.16.1-1
ghostscript 10.07.1-1
giflib 6.1.3-1
git 2.55.0-1
github-cli 2.96.0-1
gjs 2:1.88.1-1
glib-networking 1:2.80.1-1
glib2 2.88.2-1
glibc 2.43+r37+gfdf10644d6ee-1
glibmm 2.66.9-1
glibmm-2.68 2.88.1-1
glslang 1:1.4.350.1-1
glycin 2.1.5-2
glycin-gtk4 2.1.5-2
gmp 6.3.0-3
gnome-autoar 0.4.5-1
gnome-desktop 1:44.5-1
gnome-desktop-4 1:44.5-1
gnome-desktop-common 1:44.5-1
gnulib-l10n 20241231-1
gnupg 2.4.9-2
gnutls 3.8.13-2
gobject-introspection-runtime 1.86.0-2
gpart 0.3-6
gparted 1.8.1-2
gperftools 2.18.1-1
gpgme 2.1.2-1
gpgmepp 2.1.0-1
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gptfdisk 1.0.10-2
graphene 1.10.8-2
graphite 1:1.3.15-1
greetd 0.10.3-2
greetd-agreety 0.10.3-2
greetd-tuigreet 0.9.1-2
grep 3.12-2
grim 1.5.0-2
grml-zsh-config 0.19.28-1
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gspell 1.14.4-1
gssdp 1.6.6-1
gssproxy 0.9.2-3
gst-plugin-gtk 1.28.5-1
gst-plugins-bad-libs 1.28.5-1
gst-plugins-base-libs 1.28.5-1
gstreamer 1.28.5-1
gtest 1.17.0-2
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.4-1
gtk3 1:3.24.52-1
gtk4 1:4.22.4-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-2
gtkmm3 3.24.11-1
gtksourceview4 4.8.4-2
guile 3.0.11-1
gum 0.17.0-1
gupnp 1:1.6.10-1
gupnp-dlna 0.12.0-5
gupnp-igd 1.6.0-2
gvfs 1.60.1-1
gzip 1.14-2
harfbuzz 14.2.1-1
hdparm 9.65-3
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.4.0-1
hwdata 0.409-1
hwloc 2.14.0-1
hyperv 7.1.3-1
hyprcursor 0.1.13-6
hyprgraphics 0.5.1-3
hypridle 0.1.7-9
hyprland 0.55.4-1
hyprland-guiutils 0.2.1-6
hyprlang 0.6.8-4
